,review,category,AMBIENCE#GENERAL,DRINKS#PRICES,DRINKS#QUALITY,DRINKS#STYLE_OPTIONS,FOOD#PRICES,FOOD#QUALITY,FOOD#STYLE_OPTIONS,LOCATION#GENERAL,RESTAURANT#GENERAL,RESTAURANT#MISCELLANEOUS,RESTAURANT#PRICES,SERVICE#GENERAL
406,It isn't the cheapest sushi but has been worth it every time.,FOOD#PRICES*FOOD#QUALITY,0,0,0,0,1,1,0,0,0,0,0,0
407,Very poor customer service.,SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
408,"– Schooner or Later's charming location along the marina in Long Beach and average food does not, unfortunately, compensate for its very poor customer service.",LOCATION#GENERAL*FOOD#QUALITY*SERVICE#GENERAL,0,0,0,0,0,1,0,1,0,0,0,1
409,"While this diner had reasonably good food, the restaurant staff seemed completely indifferent to our presence, and this attitude was reflected in the lack of service.",FOOD#QUALITY*SERVICE#GENERAL,0,0,0,0,0,1,0,0,0,0,0,1
410,"As part of a small party of four, our food was dropped off without comment;",SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
411,any further needs we may have had could not have been met since no one stopped by the table.,SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
412,"When we finally were able to flag someone down, it was someone entirely different from the person who had dropped off the food, who was also not the same person who had taken our order.",SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
413,"After one member of our party had been bumped repeatedly by a waitress, a polite request that he not be bumped sent the waitress into an abusive rant.",SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
414,"A brief conversation with the manager at the end of the meal was the greatest disappointment--to say we had been ""blown off"" would be an understatement.",SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
415,"The manager continually interrupted with ""Is there anything else I can do for you?"", a strange comment because she had hardly listened, let alone responded to our expression of disappointment at our experience.",SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
416,"She promised to speak to the waitress who had flown off in a rage, but we could hardly take her promise seriously, seeing as she hadn't bothered to get the waitresses name.",SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
417,"In short, Schooner or Later couldn't have cared less about our being at their establishment.",SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
418,you are with a hot date and he/she has an urge for sushi...then this might be the place.,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
419,"the fish was fresh, though it was cut very thin.",FOOD#QUALITY*FOOD#STYLE_OPTIONS,0,0,0,0,0,1,1,0,0,0,0,0
420,great service.,SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
421,good sake selection.,DRINKS#STYLE_OPTIONS,0,0,0,1,0,0,0,0,0,0,0,0
422,Dungeness crabs here!,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
423,– Ray's is THE place to go for high quality seafood dinners.,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
424,And they give good quantity for the price.,FOOD#STYLE_OPTIONS*FOOD#PRICES,0,0,0,0,1,0,1,0,0,0,0,0
425,We were only in Seattle for one night and I'm so glad we picked Rays for dinner!,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
426,I love Dungeness crabs and at Ray's you can get them served in about 6 different ways!,FOOD#STYLE_OPTIONS,0,0,0,0,0,0,1,0,0,0,0,0
427,We shared the family platter and I especially enjoyed the black cod in sake kasu.,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
428,I ended the meal with the unusual dessert of a port and chocolate tasting....yummy!,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
429,And the service was simply spendid - quite a delight.,SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
430,Great Breakfast,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
431,"– Great drinks , corn beef hash, coffee, B Fast burritos, Gluten Free menu.",DRINKS#QUALITY*FOOD#QUALITY*DRINKS#QUALITY*FOOD#QUALITY*FOOD#STYLE_OPTIONS,0,0,1,0,0,1,1,0,0,0,0,0
432,The service is fantastic at this fun place.,SERVICE#GENERAL*RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,1
433,"If there is a line very day of the week for the entire time a place is open, you know it is great.",RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
434,This is the case at this gem.,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
435,Best Neighborhood Standby.,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
436,You Can't Go Wrong Here.,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
437,In Grammercy/Union Square/East Village this is my neighbors and my favorite spot.,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
438,"The music is great, no night better or worse, the bar tenders are generous with the pouring, and the lighthearted atmosphere will lifts you spirits.",AMBIENCE#GENERAL*DRINKS#STYLE_OPTIONS*AMBIENCE#GENERAL,1,0,0,1,0,0,0,0,0,0,0,0
439,"Seriously, you can't go wrong, if it is unpretentious local fun you seek.",AMBIENCE#GENERAL,1,0,0,0,0,0,0,0,0,0,0,0
440,"Oh, and the cheese fries are awesome!",FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
441,"Good Food, Great Service, Average Prices (For the Strip)",FOOD#QUALITY*SERVICE#GENERAL*RESTAURANT#PRICES,0,0,0,0,0,1,0,0,0,0,1,1
442,– I decided to eat at Stack because of their price fixed pre-show dinner.,FOOD#PRICES,0,0,0,0,1,0,0,0,0,0,0,0
443,"When I walked in, I was taken aback by their incredible wood decor.",AMBIENCE#GENERAL,1,0,0,0,0,0,0,0,0,0,0,0
444,"The music playing was very hip, 20-30 something pop music, but the subwoofer to the sound system was located under my seat, which became annoying midway through dinner.",AMBIENCE#GENERAL*AMBIENCE#GENERAL,1,0,0,0,0,0,0,0,0,0,0,0
445,I got the shellfish and shrimp appetizer and it was alright.,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
446,"It wasn't the freshest seafood ever, but the taste and presentation was OK.",FOOD#STYLE_OPTIONS*FOOD#QUALITY,0,0,0,0,0,1,1,0,0,0,0,0
447,"I picked the asparagus, which turned out to be incredible and perfectly prepared.",FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
448,"The 9 oz steak came next and it tasted great, at least initially.",FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
449,The steak was done to my exact liking (medium rare) and was nice and juicy.,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
450,"It?s served with either a peppercorn sauce or red wine reduction, though both were indistinguishable in taste.",FOOD#QUALITY*FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
451,"Though, one thing I realized later on was that the restaurant either used MSG or a meat tenderizer on the steak.",FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
452,My mouth felt very dry afterwards and I had that signature ?MSG? taste lingering in my throat after I left the restaurant.,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
453,They came in their own nifty take out box and with some homemade frosting; very light and not-too-sweet.,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
454,The desert was the perfect ending to an almost perfect dinner.,FOOD#QUALITY*FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
455,"The dinner only took us about an hour and the prices were alright for the strip, almost $50/pp after tax and tip (about average).",RESTAURANT#PRICES*SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,1,1
456,But the servers were extremely attentive and very friendly.,SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
457,"Overall, I would go back and eat at the restaurant again.",RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
458,Just remember to dress a little urban-chic so you don?t look too far out of place.,RESTAURANT#MISCELLANEOUS,0,0,0,0,0,0,0,0,0,1,0,0
459,"good sake, good food – i honestly don't know much about japanese food at all.",DRINKS#QUALITY*FOOD#QUALITY,0,0,1,0,0,1,0,0,0,0,0,0
460,Server made several sake suggestions which were very good.,DRINKS#QUALITY*SERVICE#GENERAL,0,0,1,0,0,0,0,0,0,0,0,1
461,had many dishes but the BEST was the lobster 3 ways.,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
462,VERY GOOD!,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
463,Overpriced,RESTAURANT#PRICES,0,0,0,0,0,0,0,0,0,0,1,0
464,Waited 35 minutes for a table for 8 which was ok for such a big crowd.,SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
465,The waiter was a bit unfriendly and the feel of the restaurant was crowded.,SERVICE#GENERAL*AMBIENCE#GENERAL,1,0,0,0,0,0,0,0,0,0,0,1
466,"Also, there was only one bathroom stall- probably need more for such big crowds.",RESTAURANT#MISCELLANEOUS,0,0,0,0,0,0,0,0,0,1,0,0
467,"Most importantly, we were so excited about the food after seeing the very creative menu.",FOOD#STYLE_OPTIONS,0,0,0,0,0,0,1,0,0,0,0,0
468,"At best, the food was good and definately overpriced.",FOOD#QUALITY*FOOD#PRICES,0,0,0,0,1,1,0,0,0,0,0,0
469,For the amount of food we got the prices should have been lower.,FOOD#STYLE_OPTIONS*FOOD#PRICES,0,0,0,0,1,0,1,0,0,0,0,0
470,Not sure if I would go back.,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
471,My favortie pizza joint in Seattle,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
472,"– This is my ""must bring out of town guests to"" restaurant and they always enjoy and rave about it.",RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
473,"In fact, many want to return a second time during their visit.",RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
474,The pizza is delicious and the salads are fantastic.,FOOD#QUALITY*FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
475,"I've always found the wait staff and, if you sit at the bar, the cooks very friendly.",SERVICE#GENERAL*SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
476,"They aren't the most talkative, but everytime I've been there they have been very busy, which probably accounts for the lack of conversation.",SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
477,I also really enjoy the simplicity of the decor and intimate feeling of a small restaurant.,AMBIENCE#GENERAL*AMBIENCE#GENERAL,1,0,0,0,0,0,0,0,0,0,0,0
478,It's just the right size for the menu.,RESTAURANT#MISCELLANEOUS,0,0,0,0,0,0,0,0,0,1,0,0
479,Excellent,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
480,– My husband and I love eating at Mioposto Café.,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
481,We’re can’t say enough about their delicious gourmet pizza’s!,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
482,You won’t be disappointed by their menu.,FOOD#STYLE_OPTIONS,0,0,0,0,0,0,1,0,0,0,0,0
483,The pizza’s are thin crust and the menu offers very creative combinations and toppings.,FOOD#STYLE_OPTIONS*FOOD#STYLE_OPTIONS,0,0,0,0,0,0,1,0,0,0,0,0
484,You never feel icky and stuffed after you eat there.,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
485,The pizza’s are light and scrumptious.,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
486,Try the Pizza Ensalata!,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
487,Absolutely delicious.,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
488,The pizza’s are not huge and the crust is thin…keep that in mind when you’re ordering.,FOOD#STYLE_OPTIONS*FOOD#STYLE_OPTIONS,0,0,0,0,0,0,1,0,0,0,0,0
489,Worth the wait,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
490,"– Had to wait thirty minutes to get in the door on a tuesday morning, but it was so worth it.",RESTAURANT#MISCELLANEOUS*RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,1,0,0
491,The food is sinful.,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
492,The staff was really friendly.,SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
493,The atmosphere was great.,AMBIENCE#GENERAL,1,0,0,0,0,0,0,0,0,0,0,0
494,"The specialty here is decadent pancakes, but I've been back now four times, and I've been wowed every time.",FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
495,Nothing on the menu is less than amazing.,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
496,"Go with some friends, wait the half hour or so with a cup of joe, and enjoy more than your average breakfast.",FOOD#QUALITY*RESTAURANT#GENERAL,0,0,0,0,0,1,0,0,1,0,0,0
497,Good eats.,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
498,I don't know why anyone would want to write a great review about this place.,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
499,"I have been to this place, folks and it is BAD.",RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
500,Maybe it is good for that one night once in a blue moon when the chefs decide to use fish that's half-way decent.,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
501,"I have been here, spent tons of money on a chef special dinner and it was a major dissappointment.",FOOD#QUALITY*FOOD#PRICES,0,0,0,0,1,1,0,0,0,0,0,0
502,Fancy pieces of exotic fish on a $100 dollar plate and NOT ONE was eatable.,FOOD#PRICES*FOOD#QUALITY*FOOD#STYLE_OPTIONS,0,0,0,0,1,1,1,0,0,0,0,0
503,DONOT GO!,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
504,Delicious,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
505,– The atmosphere is great for any special occasion you might want to celebrate.,AMBIENCE#GENERAL,1,0,0,0,0,0,0,0,0,0,0,0
506,The best dish are the honwy walnut prawns- just outstanding.,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
507,The service is really attentive and charming.,SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
508,We waited for an hour to be seated.,SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
509,"The service was excellent, the coffee was good even by starbucks standards and the food was outstanding.",SERVICE#GENERAL*DRINKS#QUALITY*FOOD#QUALITY,0,0,1,0,0,1,0,0,0,0,0,1
510,It was worth the wait.,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
511,Plan on waiting 30-70 minutes.,SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
512,Will definitely be back.,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
513,Delicious...!,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
514,– I recently had the pleasure of dining as this delightful restaurant on 2nd street and wow what a great evening we had.,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
515,"The food is fantastic, authentic, delicious and very, very affordable.",FOOD#QUALITY*FOOD#PRICES,0,0,0,0,1,1,0,0,0,0,0,0
516,The decor was beautiful and unique.,AMBIENCE#GENERAL,1,0,0,0,0,0,0,0,0,0,0,0
517,"There was a really nice vibe about the place...good music, atmosphere and happy looking people.",AMBIENCE#GENERAL*AMBIENCE#GENERAL*AMBIENCE#GENERAL*RESTAURANT#MISCELLANEOUS,1,0,0,0,0,0,0,0,0,1,0,0
518,Our server was very professional and friendly.,SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
519,To the owners of Open Sesame...Bravo...I can't wait to come back to dine at your restaurant!,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
520,Delectable ,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
521,It's a tiny place so if you get there before 8pm on a weekend (Thurs?Sun) you will find it easier to get a table or a seat at the sushi bar.,RESTAURANT#MISCELLANEOUS,0,0,0,0,0,0,0,0,0,1,0,0
522,"Once you're inside, the real experience begins.",RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
523,"Everything, and I mean everything on the menu is delectable.",FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
524,The waiters are very experienced and helpful with pairing your drink choice to your food tastes or vice versa.,SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
525,"The sushi is as fresh as it comes?you'd think ocean was in their backyard, no joke!",FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
526,"If you're interested in good tasting (without the fish taste or smell), large portions and creative sushi dishes this is your place...",FOOD#QUALITY*FOOD#STYLE_OPTIONS*FOOD#STYLE_OPTIONS,0,0,0,0,0,1,1,0,0,0,0,0
527,big thick pepperoni,FOOD#STYLE_OPTIONS,0,0,0,0,0,0,1,0,0,0,0,0
528,– The pepperoni's cut real thick--Yum.,FOOD#STYLE_OPTIONS,0,0,0,0,0,0,1,0,0,0,0,0
529,"The pizza itself is not exactly the best I've had EVER, but still pretty good.",FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
530,I probably wouldn't go back though 'cuz I don't know if it's worth it.,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
531,Maybe I'll go back once more many years from now when I've forgotten I went there already.,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
532,Sit in the Balcony,AMBIENCE#GENERAL,1,0,0,0,0,0,0,0,0,0,0,0
533,– Not bad.,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
534,Food was good and appetizing.,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
535,"Portions was just enough for me, but may not be for a big eater.",FOOD#STYLE_OPTIONS,0,0,0,0,0,0,1,0,0,0,0,0
536,Fair menu selection.,FOOD#STYLE_OPTIONS,0,0,0,0,0,0,1,0,0,0,0,0
537,"The appetizer was interesting, but the Creme Brulee was very savory and delicious.",FOOD#QUALITY*FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
538,Indoor ambience was modern.,AMBIENCE#GENERAL,1,0,0,0,0,0,0,0,0,0,0,0
539,"If it's nice outside, request for a table in the balcony.",AMBIENCE#GENERAL,1,0,0,0,0,0,0,0,0,0,0,0
540,It's a great place to people watch.,RESTAURANT#MISCELLANEOUS,0,0,0,0,0,0,0,0,0,1,0,0
541,Although the service could be improved considering the money you put in.,SERVICE#GENERAL*RESTAURANT#PRICES,0,0,0,0,0,0,0,0,0,0,1,1
542,Our drinks kept coming but our server came by a couple times.,SERVICE#GENERAL*SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
543,"Should check-up on us more frequently, don't you think?",SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
544,Late night dinning with exeptional food.,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
545,"We were seated right away, the table was private and nice.",SERVICE#GENERAL*AMBIENCE#GENERAL,1,0,0,0,0,0,0,0,0,0,0,1
546,The service was exceptional - sometime there was a feeling that we were served by the army of friendly waiters.,SERVICE#GENERAL*SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
547,"The food was very good, filet mignon was probably the best I've ever try.",FOOD#QUALITY*FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
548,"The portions are big though, so do not order too much.",FOOD#STYLE_OPTIONS,0,0,0,0,0,0,1,0,0,0,0,0
549,Groovy music made the dinner casual.,AMBIENCE#GENERAL,1,0,0,0,0,0,0,0,0,0,0,0
550,The most pleasant surprise was the check that did not exceed my expectations as it always happens in most of the places.,RESTAURANT#PRICES,0,0,0,0,0,0,0,0,0,0,1,0
551,I have a but here - there was a bathroom attendant in the restroom which was odd.,RESTAURANT#MISCELLANEOUS,0,0,0,0,0,0,0,0,0,1,0,0
552,"The bathroom itself is very small with two toilets and only one sink, the girl was staying totally on the way hanging out paper towels from the dispenser.",RESTAURANT#MISCELLANEOUS,0,0,0,0,0,0,0,0,0,1,0,0
553,I felt ackward and next time went to the casino bathroom.,RESTAURANT#MISCELLANEOUS,0,0,0,0,0,0,0,0,0,1,0,0
554,This place rocks!!,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
555,"– Mercedes restaurant is so tasty, the service is undeniably awesome!",SERVICE#GENERAL*FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,1
556,"The chips  and salsa are so yummy, and the prices are fabulous.",FOOD#QUALITY*RESTAURANT#PRICES,0,0,0,0,0,1,0,0,0,0,1,0
557,"The atmosphere is aspiring, and  the decor is festive and amazing..",AMBIENCE#GENERAL*AMBIENCE#GENERAL,1,0,0,0,0,0,0,0,0,0,0,0
558,"The catering is out of this world, and Raouls chicken vegetable soup rocks my world!!!",FOOD#QUALITY*FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
559,"Drinks are suberb, and I feel like I am in a Third World country when I walk in the door.",DRINKS#QUALITY*AMBIENCE#GENERAL,1,0,1,0,0,0,0,0,0,0,0,0
560,Insultingly Overpriced,RESTAURANT#PRICES,0,0,0,0,0,0,0,0,0,0,1,0
561,- Mediocre Service/Quality,SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
562,The presentation of Snooze is excellent and it is one of those places that you feel more sophisticated just for being there; but peel back the layers and you have an overpriced IHOP with a high brow menu.,AMBIENCE#GENERAL*FOOD#STYLE_OPTIONS*RESTAURANT#PRICES,1,0,0,0,0,0,1,0,0,0,1,0
563,"To start off, approximately 8-10 oz of orange juice will cost you $3.",DRINKS#PRICES,0,1,0,0,0,0,0,0,0,0,0,0
564,"They serve it in a tall, skinny hour-glass shaped glass to disguise the fact that you a getting a small juice at the price of a half gallon in a supermarket.",DRINKS#STYLE_OPTIONS*DRINKS#PRICES,0,1,0,1,0,0,0,0,0,0,0,0
565,I should have just asked for the check when I saw that; but their menu was so unique that I continued.,FOOD#STYLE_OPTIONS,0,0,0,0,0,0,1,0,0,0,0,0
566,"The pancakes were certainly inventive but $8.50 for 3 - 6"" pancakes (one of them was more like 5"") in the pancake flight (sample of 3 different pancakes) is well over-priced.",FOOD#STYLE_OPTIONS*FOOD#PRICES*FOOD#STYLE_OPTIONS,0,0,0,0,1,0,1,0,0,0,0,0
567,"The pancakes should be larger (at least 8"") to justify the expense even with the unique offerings.",FOOD#STYLE_OPTIONS*FOOD#PRICES,0,0,0,0,1,0,1,0,0,0,0,0
568,"On my meal I had to send back my eggs for a simple request of breaking the yokes before cooking, and would have had to send them back again if I hadn't rejected the meal all together.",FOOD#QUALITY*FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
569,I rejected it because in the process of attempting to fix the eggs they broke something else in the dish and I was too frustrated to continue.,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
570,To their credit they removed the dish from the check; but no manager stopped by to ask what the problem was.,SERVICE#GENERAL*SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
571,"In the end our check came to $27 for 4 small pancakes, a breakfast burrito, an orange juice and an iced tea (I had water).",FOOD#STYLE_OPTIONS*FOOD#PRICES*FOOD#PRICES*DRINKS#PRICES*DRINKS#PRICES,0,1,0,0,1,0,1,0,0,0,0,0
572,Much more than just a great view!,LOCATION#GENERAL*RESTAURANT#GENERAL,0,0,0,0,0,0,0,1,1,0,0,0
573,– I am exceedingly pleased to report that my dinner at Ray's Boathouse last Friday completely exceeded my expectations.,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
574,"Ray's is something of a Seattle institution, but given its gorgeous Sound views, I had suspected that the accolades were more due to the scenery than to the food and service.",LOCATION#GENERAL,0,0,0,0,0,0,0,1,0,0,0,0
575,Imagine my happy surprise upon finding that the views are only the third-best thing about Ray's!,LOCATION#GENERAL*RESTAURANT#GENERAL,0,0,0,0,0,0,0,1,1,0,0,0
576,"To start things off, our lovely server Brooke was quickly on hand to take my drink order.",SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
577,"My party of two was feeling particularly ambitious, and we splurged on the Shilshole Sampler...a beautiful assortment of enormous white gulf prawns, smoked albacore tuna, Ray's fantastic manila clams seasoned with dill, scallops in a tasty soy dressing, and a tiny pile of Dungeness crab atop a sublime butter sauce.",FOOD#STYLE_OPTIONS*FOOD#QUALITY*FOOD#QUALITY*FOOD#QUALITY*FOOD#QUALITY*FOOD#STYLE_OPTIONS,0,0,0,0,0,1,1,0,0,0,0,0
578,"For my entr&eacute;e, I completely enjoyed the seared Alaskan sea scallops complemented by chard, artichoke hearts, fennel, and pecorino toscano.",FOOD#QUALITY*FOOD#STYLE_OPTIONS,0,0,0,0,0,1,1,0,0,0,0,0
579,The scallops are apparently cooked in a black olive butter which really makes them unique (not to mention tasty).,FOOD#QUALITY*FOOD#STYLE_OPTIONS,0,0,0,0,0,1,1,0,0,0,0,0
580,My friend enjoyed the grilled Alaskan King Salmon with delectable creamed Washington russet potatoes and crisp green beans.,FOOD#QUALITY*FOOD#QUALITY*FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
581,"I had a taste of all three items on her plate, and they were superb.",FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
582,"Our server continued to be attentive throughout the night, but I did remain puzzled by one issue:  Who thinks that Ray's is an appropriate place to take young children for dinner?",SERVICE#GENERAL*RESTAURANT#MISCELLANEOUS,0,0,0,0,0,0,0,0,0,1,0,1
583,Two rascally kids were seated near us for the first part of our dinner...they were replaced by a delightful preteen who pretended to gag every time seafood was mentioned at her table.,RESTAURANT#MISCELLANEOUS,0,0,0,0,0,0,0,0,0,1,0,0
584,"All considered, I have to say that Ray's Boathouse is deserving of its title as a Seattle institution.",RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
585,"While I could have done without the youth who shared the evening with us, our wonderful server and food made the experience a very positive one.",SERVICE#GENERAL*FOOD#QUALITY*RESTAURANT#MISCELLANEOUS,0,0,0,0,0,1,0,0,0,1,0,1
586,"Oh yeah...the view was good, too.",LOCATION#GENERAL,0,0,0,0,0,0,0,1,0,0,0,0
